job_id,nodes,tasks-per-node,cpu-per-task,total_computation,priority,injection_time,dependency
0,15,17,2,4214160e9,1,0,()
1,13,12,4,2701296e9,1,0,()
2,19,12,2,6662160e9,1,0,(1)
3,11,16,4,382536e9,1,0,()
4,13,2,1,1130480e9,1,0,(0,3)
5,2,6,4,186768e9,1,0,()
6,11,1,3,796686e9,1,0,()
7,1,6,4,710016e9,1,0,(5)
8,20,9,1,2695680e9,1,0,()
9,12,17,1,4346208e9,1,0,()
10,8,18,4,1039680e9,1,3600,()
11,4,17,2,577920e9,1,3600,()
12,13,8,1,2934672e9,1,3600,()
13,4,15,1,444480e9,1,3600,()
14,12,4,4,1122336e9,1,3600,()
15,13,5,4,2037672e9,1,3600,(10)
16,11,12,2,543312e9,1,3600,(5)
17,3,11,1,668580e9,1,3600,()
18,2,14,3,293856e9,1,3600,(2)
19,6,13,1,2516688e9,1,3600,()
20,16,16,4,5319552e9,1,7200,(19,12)
21,13,13,1,8571264e9,1,7200,()
22,33,13,4,8460144e9,1,7200,(18)
23,16,5,3,2649600e9,1,7200,(13,22)
24,8,4,2,2131072e9,1,7200,()
25,10,12,1,2914800e9,1,7200,()
26,26,11,3,13852800e9,1,7200,()
27,17,11,4,1714008e9,1,7200,()
28,13,3,3,3005262e9,1,7200,(13)
29,13,5,2,1798160e9,1,7200,(8)
30,21,8,1,3608640e9,1,10800,(28)
31,17,18,4,4307256e9,1,10800,(22)
32,11,2,3,921624e9,1,10800,(21)
33,5,14,1,171240e9,1,10800,()
34,35,13,4,6448680e9,1,10800,(11,7)
35,28,5,4,3599904e9,1,10800,(18,3)
36,14,12,3,5258736e9,1,10800,(21,30)
37,14,8,2,1786176e9,1,10800,()
38,10,18,2,592560e9,1,10800,()
39,20,8,4,3767520e9,1,10800,()
40,9,17,4,2720088e9,1,14400,()
41,8,3,4,768192e9,1,14400,(37)
42,3,10,2,583848e9,1,14400,()
43,8,9,2,628608e9,1,14400,(17)
44,12,17,4,1531584e9,1,14400,(40,2,11)
45,8,18,2,3254976e9,1,14400,(34)
46,12,14,1,1690848e9,1,14400,()
47,26,1,1,618436e9,1,14400,(30)
48,7,7,3,1127448e9,1,14400,(2)
49,6,10,1,795600e9,1,14400,()
50,18,8,1,3867552e9,1,18000,()
51,17,13,1,7330128e9,1,18000,()
52,4,12,4,506592e9,1,18000,(46)
53,6,17,3,2431152e9,1,18000,()
54,12,6,1,1561248e9,1,18000,(50)
55,12,2,1,201072e9,1,18000,()
56,27,4,1,933120e9,1,18000,(53,31)
57,2,1,4,105392e9,1,18000,()
58,5,2,4,2084880e9,1,18000,()
59,20,16,1,6495360e9,1,18000,(47)
60,15,5,2,1167900e9,1,21600,(34,52)
61,15,9,1,2025810e9,1,21600,(52)
62,29,16,4,4475280e9,1,21600,(48,38)
63,4,9,4,1379328e9,1,21600,(33)
64,10,4,4,4431600e9,1,21600,(56,42)
65,2,2,1,76744e9,1,21600,(64)
66,4,5,2,683920e9,1,21600,(50)
67,5,17,2,873480e9,1,21600,(13)
68,12,10,1,2765520e9,1,21600,()
69,5,14,2,1893960e9,1,21600,()
70,12,14,2,482400e9,1,25200,(10,45)
71,16,4,4,2404992e9,1,25200,(27)
72,12,6,1,3064752e9,1,25200,()
