job_id,nodes,tasks-per-node,cpu-per-task,total_computation,priority,injection_time,dependency
0,2,7,2,118512e9,1,0,()
1,8,13,3,984768e9,1,0,()
2,19,16,1,3005496e9,1,0,(0)
3,13,6,3,3932136e9,1,0,(0,1)
4,6,1,3,367524e9,1,0,(2)
5,6,4,1,897504e9,1,0,(1)
6,5,10,1,1443400e9,1,0,()
7,3,7,4,1684872e9,1,0,(1)
8,2,12,1,806160e9,1,0,()
9,9,8,2,4360176e9,1,0,()
10,7,11,1,1901284e9,1,3600,()
11,11,3,1,513150e9,1,3600,(0,9)
12,8,16,3,365376e9,1,3600,(4)
13,8,2,2,225280e9,1,3600,()
14,10,8,4,488880e9,1,3600,()
15,6,13,2,360864e9,1,3600,()
16,5,2,2,620120e9,1,3600,()
17,2,15,3,136176e9,1,3600,()
18,30,9,4,7912800e9,1,3600,(8)
19,27,3,3,3961872e9,1,3600,()
20,4,2,3,63600e9,1,7200,()
21,14,17,2,7347984e9,1,7200,()
22,2,5,4,773232e9,1,7200,(9)
23,21,13,3,17631936e9,1,7200,()
24,15,4,4,2432520e9,1,7200,()
25,19,17,1,7809912e9,1,7200,()
26,5,6,4,2370960e9,1,7200,(8,25)
27,3,5,4,821592e9,1,7200,(26)
28,13,2,2,617552e9,1,7200,(25,1)
29,2,2,2,194304e9,1,7200,()
30,7,9,2,3149160e9,1,10800,(24)
31,15,16,2,4218480e9,1,10800,(10)
32,3,13,4,603288e9,1,10800,(6)
33,9,15,3,2440800e9,1,10800,()
34,2,5,2,402800e9,1,10800,(32)
35,13,15,3,1761864e9,1,10800,()
36,5,15,3,1794840e9,1,10800,()
37,9,15,2,4637304e9,1,10800,(14)
38,10,11,2,4078560e9,1,10800,()
39,4,18,4,1494144e9,1,10800,(4)
40,1,18,2,219648e9,1,14400,()
41,16,5,2,1023680e9,1,14400,(27)
42,16,8,1,2318848e9,1,14400,(27)
43,36,2,4,2154816e9,1,14400,()
44,3,14,4,718848e9,1,14400,()
45,15,4,2,5323680e9,1,14400,(27)
46,24,7,4,1721664e9,1,14400,()
47,7,12,2,3293640e9,1,14400,()
48,7,4,1,260232e9,1,14400,()
49,7,4,3,868224e9,1,14400,()
50,6,11,2,322128e9,1,18000,()
51,12,16,1,4368960e9,1,18000,(42)
52,17,17,1,3353352e9,1,18000,(45)
53,15,15,3,6212520e9,1,18000,()
54,15,18,4,1234080e9,1,18000,()
55,25,2,2,5089000e9,1,18000,()
56,9,2,1,184680e9,1,18000,(46)
57,19,9,2,5338848e9,1,18000,(18)
58,2,7,4,213504e9,1,18000,()
59,15,2,4,3245040e9,1,18000,(24,13)
60,3,9,1,675216e9,1,21600,(48,31)
61,18,18,2,2414016e9,1,21600,()
62,8,8,2,1845312e9,1,21600,(50)
63,18,5,2,1846800e9,1,21600,()
64,9,9,3,1373328e9,1,21600,(62)
65,9,3,2,530388e9,1,21600,(51)
66,2,18,4,107040e9,1,21600,()
67,8,5,3,4309440e9,1,21600,(34)
68,5,3,3,883440e9,1,21600,(11)
69,6,11,4,943920e9,1,21600,(38)
70,18,15,3,6943536e9,1,25200,(48,49,46)
71,27,14,2,7748136e9,1,25200,(29,23)
72,5,7,3,1156080e9,1,25200,(32)
73,27,9,3,2264760e9,1,25200,(63)
74,2,11,3,179904e9,1,25200,()
75,17,4,3,5199552e9,1,25200,()
76,2,14,3,191472e9,1,25200,()
77,11,5,3,5552712e9,1,25200,(27,39)
78,17,4,2,5031728e9,1,25200,(29)
79,5,18,1,969600e9,1,25200,(47)
80,3,4,1,252360e9,1,28800,(24)
81,1,1,3,33084e9,1,28800,()
82,9,14,1,1146312e9,1,28800,()
83,14,8,4,2626512e9,1,28800,()
84,4,11,1,736912e9,1,28800,(5)
85,5,18,2,2933760e9,1,28800,()
86,3,2,1,152544e9,1,28800,(41)
87,2,2,4,155008e9,1,28800,(23,7)
88,6,16,4,2312208e9,1,28800,(82,11)
89,13,17,3,394680e9,1,28800,(12,84)
90,2,13,3,139392e9,1,32400,()
91,2,16,1,799728e9,1,32400,(48)
92,7,14,4,3428544e9,1,32400,(52,30)
93,14,18,2,1821120e9,1,32400,()
94,11,1,4,369864e9,1,32400,()
95,7,14,4,490392e9,1,32400,(23)
96,13,6,3,5410080e9,1,32400,(74)
97,13,11,3,2907840e9,1,32400,()
98,2,11,4,614640e9,1,32400,(21)
99,11,12,1,4129752e9,1,32400,(96,97,74)
100,8,12,2,2698176e9,1,36000,(73,77,37)
101,7,16,1,878472e9,1,36000,()
102,5,11,1,532400e9,1,36000,(31)
103,10,8,4,1117680e9,1,36000,()
104,9,3,3,1112940e9,1,36000,()
105,8,8,2,3624576e9,1,36000,(69)
106,2,4,3,98832e9,1,36000,()
107,35,15,4,5891760e9,1,36000,()
108,1,12,1,275472e9,1,36000,(19)
109,13,5,3,8610888e9,1,36000,()
110,5,8,4,136200e9,1,39600,()
111,2,5,4,389088e9,1,39600,(46)
112,10,4,3,365760e9,1,39600,()
