job_id,nodes,tasks-per-node,cpu-per-task,total_computation,priority,injection_time,dependency
0,19,1,2,851124e9,1,0,()
1,12,10,2,6229440e9,1,0,(0)
2,4,1,3,110112e9,1,0,(0)
3,15,18,1,3906720e9,1,0,()
4,1,9,4,297744e9,1,0,()
5,8,9,1,405072e9,1,0,()
6,9,2,2,524952e9,1,0,()
7,5,14,3,2862240e9,1,0,()
8,9,7,4,204336e9,1,0,(6)
9,19,4,2,4533248e9,1,0,()
10,16,6,1,1415616e9,1,3600,()
11,5,2,4,1467040e9,1,3600,()
12,1,15,3,78984e9,1,3600,(8)
13,11,18,2,504504e9,1,3600,(11)
14,20,13,3,1831680e9,1,3600,()
15,14,6,3,3380496e9,1,3600,()
16,23,9,1,3147228e9,1,3600,()
17,6,12,1,1615536e9,1,3600,(5)
18,5,14,4,573120e9,1,3600,()
19,10,2,1,373280e9,1,3600,()
20,10,5,1,2715500e9,1,7200,()
21,5,1,3,226440e9,1,7200,(11,7)
22,14,18,4,1924944e9,1,7200,(21)
23,25,11,1,7145050e9,1,7200,(9)
24,13,16,3,965952e9,1,7200,(1)
25,7,5,1,817390e9,1,7200,()
26,9,6,3,4499064e9,1,7200,()
27,22,12,4,3645840e9,1,7200,()
28,3,9,3,806760e9,1,7200,(15)
29,12,10,1,484080e9,1,7200,(16,20,22)
30,4,7,2,3120480e9,1,10800,()
31,6,11,3,1552608e9,1,10800,()
32,1,8,2,277248e9,1,10800,(16,4)
33,12,15,2,3050208e9,1,10800,(30)
34,9,15,3,927072e9,1,10800,(27)
35,12,6,4,1372032e9,1,10800,(5)
36,8,15,1,3520896e9,1,10800,()
37,12,16,4,1733472e9,1,10800,()
38,10,6,3,3077280e9,1,10800,()
39,7,10,4,1081080e9,1,10800,(16)
40,10,14,4,1442640e9,1,14400,()
41,7,12,1,2927400e9,1,14400,()
42,7,9,2,560280e9,1,14400,()
43,12,9,4,1233216e9,1,14400,()
44,4,17,4,262080e9,1,14400,()
45,13,15,4,382200e9,1,14400,()
46,14,13,1,2524704e9,1,14400,()
47,6,5,4,742608e9,1,14400,()
48,12,1,4,110016e9,1,14400,(14)
49,14,9,2,832272e9,1,14400,(1)
50,4,18,3,106368e9,1,18000,()
51,3,2,2,222912e9,1,18000,(1,2)
52,5,2,3,679260e9,1,18000,()
53,36,2,2,7558272e9,1,18000,(8,7)
54,12,8,2,3395232e9,1,18000,(39)
55,4,6,2,510048e9,1,18000,(16,34)
56,6,9,2,1402848e9,1,18000,(1,30)
57,4,10,3,629376e9,1,18000,()
58,10,16,3,2734080e9,1,18000,()
59,17,10,3,7212624e9,1,18000,(53)
60,8,2,2,243584e9,1,21600,(3,20)
61,12,10,4,272448e9,1,21600,()
62,28,9,2,3769920e9,1,21600,(16,40,19)
63,4,16,2,795456e9,1,21600,(51)
64,20,14,3,8119200e9,1,21600,(39)
65,4,11,2,2704128e9,1,21600,()
66,21,12,4,13866048e9,1,21600,()
67,6,1,3,180756e9,1,21600,(9)
68,5,13,3,136320e9,1,21600,(3,29)
